Collection Date	Strain Name	Latitude	Longitude
03/20/2013	-N/A-	45.21	28.58
03/20/2013	-N/A-	45.21	28.58
03/20/2013	-N/A-	45.21	28.58
02/02/2009	-N/A-	45.1358	28.786
01/22/2009	-N/A-	45.1358	28.786
01/22/2009	-N/A-	45.1358	28.786
01/22/2009	-N/A-	45.1358	28.786
02/02/2009	-N/A-	45.1358	28.786
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
03/20/2013	-N/A-	45.21	28.58
03/15/2013	-N/A-	45.16	29.08
02/02/2009	-N/A-	45.1358	28.786
02/02/2009	-N/A-	45.1358	28.786
02/02/2009	-N/A-	45.1358	28.786
01/22/2009	-N/A-	45.1358	28.786
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
03/20/2013	-N/A-	45.21	28.58
03/20/2013	-N/A-	45.21	28.58
01/22/2009	-N/A-	45.1358	28.786
01/22/2009	-N/A-	45.1358	28.786
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
02/02/2009	-N/A-	45.1358	28.786
01/22/2009	-N/A-	45.1358	28.786
01/22/2009	-N/A-	45.1358	28.786
01/22/2009	-N/A-	45.1358	28.786
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
09/21/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
10/20/2010	-N/A-	45.247778	29.078889
02/02/2009	-N/A-	45.1358	28.786
02/02/2009	-N/A-	45.1358	28.786
02/02/2009	-N/A-	45.1358	28.786
02/02/2009	-N/A-	45.1358	28.786
02/23/2011	-N/A-	16.08953	100.19915
02/23/2011	-N/A-	16.08953	100.19915
02/23/2011	-N/A-	16.08953	100.19915
01/17/2012	-N/A-	13.23903	100.985843
03/12/2012	-N/A-	14.31978	99.95289
05/24/2012	-N/A-	13.858915	100.862172
07/04/2012	-N/A-	17.501444	100.119917
07/05/2012	-N/A-	17.440056	100.140667
09/25/2013	-N/A-	13.90872	102.56153
09/25/2013	-N/A-	13.89489	102.56661
09/25/2013	-N/A-	13.89489	102.56661
07/22/2009	-N/A-	17.045119	100.204897
10/09/2009	-N/A-	13.801369	100.550103
12/22/2010	-N/A-	15.36834	99.68446
01/07/2011	-N/A-	16.58218	100.49226
01/18/2011	-N/A-	15.89668	100.13923
01/18/2011	-N/A-	15.89668	100.13923
01/18/2011	-N/A-	15.89668	100.13923
02/23/2011	-N/A-	16.43194	100.34381
09/22/2011	-N/A-	17.03416	99.97424
12/20/2011	A/duck/Thailand/CU-11831T/2011(H3N6),A/duck/Thailand/CU-11831C/2011(H3N6)	16.1368	99.73225
12/20/2011	A/duck/Thailand/CU-11832T/2011(H3N6),A/duck/Thailand/CU-11832C/2011(H3N6)	16.1368	99.73225
12/20/2011	A/duck/Thailand/CU-11837T/2011(H4N6),A/duck/Thailand/CU-11837C/2011(H4N6)	16.14514	99.7657
12/20/2011	-N/A-	16.23261	99.79467
12/20/2011	-N/A-	16.23261	99.79467
12/22/2011	-N/A-	16.54948	100.48838
12/22/2011	-N/A-	16.54948	100.48838
01/19/2012	-N/A-	15.84771	100.25964
01/19/2012	-N/A-	15.84976	100.26122
02/29/2012	-N/A-	16.25377	99.67489
02/29/2012	-N/A-	16.25377	99.67489
09/26/2012	-N/A-	14.046944	100.016389
09/26/2012	-N/A-	14.046944	100.016389
10/19/2012	A/duck/Thailand/CU-12657T/2012(H11N6)	14.506389	100.3075
10/19/2012	A/duck/Thailand/CU-12679C/2012(H4N6)	14.506389	100.3075
12/19/2012	-N/A-	14.184167	99.783333
12/19/2012	-N/A-	14.184167	99.783333
02/27/2013	-N/A-	15.973365	99.680409
03/06/2013	-N/A-	16.805556	100.154722
05/16/2013	-N/A-	13.97783	101.81978
09/27/2013	-N/A-	14.63194	100.16111
09/27/2013	-N/A-	14.63194	100.16111
12/23/2013	-N/A-	16.08504	99.80738
11/14/2008	A/chicken/Thailand/CU-354/2008(H5N1)	15.365786	99.667686
11/14/2008	A/chicken/Thailand/CU-355/2008(H5N1)	15.359972	99.666878
05/26/2010	-N/A-	15.42338	100.65428
05/26/2010	-N/A-	15.1687	100.33354
08/18/2010	-N/A-	16.3742	100.17846
09/15/2010	-N/A-	15.48242	101.90037
09/15/2010	-N/A-	15.48358	101.85306
09/15/2010	-N/A-	15.48358	101.85306
10/28/2010	-N/A-	16.46929	99.88214
12/07/2010	-N/A-	16.78278	100.03738
12/25/2010	-N/A-	14.42753	100.47393
01/06/2011	-N/A-	14.43522	100.56642
03/09/2011	-N/A-	14.83489	99.70102
09/07/2010	-N/A-	13.05242	100.56101
09/23/2010	-N/A-	16.74543	100.23202
12/08/2010	-N/A-	13.07296	100.51006
12/08/2010	-N/A-	13.05824	100.49368
12/08/2010	-N/A-	13.05824	100.49368
01/25/2011	-N/A-	13.05242	100.56101
02/23/2011	-N/A-	16.08953	100.19915
10/20/2010	-N/A-	13.05242	100.56101
10/20/2010	-N/A-	13.05242	100.56101
11/03/2010	A/duck/Thailand/CU-LM7283C/2010(H7N6),A/duck/Thailand/CU-LM7283T/2010(H7N6)	16.74543	100.23202
11/03/2010	-N/A-	16.74543	100.23202
12/16/2009	-N/A-	16.745433	100.232019
10/09/2009	-N/A-	13.801369	100.550103
07/24/2012	-N/A-	16.70083	100.18443
06/29/2010	-N/A-	13.05242	100.56101
08/11/2010	-N/A-	13.05242	100.56101
09/02/2010	-N/A-	16.74543	100.23202
09/07/2010	-N/A-	13.05242	100.56101
09/23/2010	-N/A-	16.74543	100.23202
09/23/2010	-N/A-	16.74543	100.23202
09/23/2010	-N/A-	16.74543	100.23202
10/07/2010	-N/A-	16.74543	100.23202
10/07/2010	-N/A-	16.74543	100.23202
10/07/2010	-N/A-	16.74543	100.23202
10/07/2010	-N/A-	16.74543	100.23202
10/27/2010	-N/A-	16.50818	100.46347
11/02/2010	-N/A-	17.31564	99.54588
11/18/2010	-N/A-	13.05242	100.56101
11/30/2010	-N/A-	16.43194	100.34381
12/08/2010	-N/A-	13.05242	100.56101
12/08/2010	-N/A-	13.05242	100.56101
12/28/2010	-N/A-	16.43194	100.34381
12/28/2010	-N/A-	16.74543	100.23202
01/11/2011	-N/A-	16.74543	100.23202
01/28/2011	-N/A-	16.90991	100.19027
02/09/2011	-N/A-	16.74543	100.23202
03/17/2011	-N/A-	13.05824	100.49368
09/25/2013	-N/A-	13.90872	102.56153
06/18/2009	-N/A-	13.719089	100.561011
09/21/2009	-N/A-	13.801369	100.550103
12/02/2009	-N/A-	16.745433	100.232019
06/28/2012	-N/A-	17.353889	100.232778
07/30/2009	A/duck/Thailand/CU5388/2009(H11N3)	14.447847	100.138125
07/30/2009	A/duck/Thailand/CU5408/2009(H11N3)	14.447847	100.138125
07/30/2009	Unknown(HXNX)	14.502356	100.049053
05/26/2010	A/duck/Thailand/CU-7519C/2010(H3N8)	15.22822	100.31565
