X	Y	T
15.42338	100.65428	3799
15.1687	100.33354	3799
16.3742	100.17846	3883
15.48242	101.90037	3911
15.48358	101.85306	3911
15.48358	101.85306	3911
16.46929	99.88214	3954
16.78278	100.03738	3994
14.42753	100.47393	4012
14.43522	100.56642	4024
14.83489	99.70102	4086
13.05242	100.56101	3903
16.74543	100.23202	3919
13.07296	100.51006	3995
13.05824	100.49368	3995
13.05824	100.49368	3995
13.05242	100.56101	4043
16.08953	100.19915	4072
13.05242	100.56101	3946
13.05242	100.56101	3946
16.74543	100.23202	3960
16.74543	100.23202	3960
16.745433	100.232019	3638
13.801369	100.550103	3570
16.70083	100.18443	4589
13.05242	100.56101	3833
13.05242	100.56101	3876
16.74543	100.23202	3898
13.05242	100.56101	3903
16.74543	100.23202	3919
16.74543	100.23202	3919
16.74543	100.23202	3919
16.74543	100.23202	3933
16.74543	100.23202	3933
16.74543	100.23202	3933
16.74543	100.23202	3933
16.50818	100.46347	3953
17.31564	99.54588	3959
13.05242	100.56101	3975
16.43194	100.34381	3987
13.05242	100.56101	3995
13.05242	100.56101	3995
16.43194	100.34381	4015
16.74543	100.23202	4015
16.74543	100.23202	4029
16.90991	100.19027	4046
16.74543	100.23202	4058
13.05824	100.49368	4094
13.90872	102.56153	5017
13.719089	100.561011	3457
13.801369	100.550103	3552
16.745433	100.232019	3624
17.353889	100.232778	4563
14.447847	100.138125	3499
14.447847	100.138125	3499
14.502356	100.049053	3499
15.22822	100.31565	3799
15.22822	100.31565	3799
15.17572	100.33361	3799
16.4476	100.23459	3911
15.77286	100.10217	3913
15.91667	99.92308	4002
15.89668	100.13923	4036
15.89668	100.13923	4036
15.89668	100.13923	4036
16.74543	100.23202	3821
16.43194	100.34381	4072
17.03416	99.97424	4283
16.14514	99.7657	4372
16.14514	99.7657	4372
16.14625	99.77969	4372
16.25722	99.73561	4372
16.25722	99.73561	4372
16.25722	99.73561	4372
16.54948	100.48838	4374
16.54948	100.48838	4374
16.54948	100.48838	4374
15.84771	100.25964	4402
16.75441	99.97545	4422
16.75441	99.97545	4422
16.75441	99.97545	4422
16.48898	100.37708	4442
16.25377	99.67489	4443
14.506389	100.3075	4676
14.506389	100.3075	4676
14.506389	100.3075	4676
14.506389	100.3075	4676
16.827556	100.048528	4814
16.391944	100.165	4821
14.28135	100.10803	4991
16.08504	99.80738	5106
16.30283	99.73878	5106
14.175278	100.285833	4638
14.175278	100.285833	4638
14.175278	100.285833	4638
15.09296	100.85212	3798
15.48244	101.90051	3911
15.90289	100.27693	3960
15.35428	99.69026	4009
14.83489	99.70102	4086
14.31978	99.95289	4455
17.500917	100.122361	4569
16.86681	100.18167	5149
17.045119	100.204897	3512
14.43519	100.66632	4012
13.05242	100.56101	3946
16.74543	100.23202	3960
13.05242	100.56101	4064
13.05242	100.56101	4064
14.31978	99.95289	4455
14.31978	99.95289	4455
17.501444	100.119917	4569
13.90872	102.56153	5017
16.86681	100.18167	5149
16.86427	100.18279	5149
16.745433	100.232019	3617
16.43194	100.34381	3960
16.43194	100.34381	3960
16.74543	100.23202	3960
16.70469	100.181567	4632
16.74543	100.23202	3884
16.74543	100.23202	3933
13.05242	100.56101	3946
16.74543	100.23202	3960
15.89732	100.26994	3960
16.74543	100.23202	3973
16.43194	100.34381	3987
16.74543	100.23202	4001
16.74543	100.23202	4001
16.43194	100.34381	4015
16.74543	100.23202	4015
16.43194	100.34381	4029
16.43194	100.34381	4029
16.74543	100.23202	4045
13.05824	100.49368	4094
17.71236	103.34235	4437
13.90872	102.56153	5017
15.896772	100.311356	3498
13.801369	100.550103	3552
13.719089	100.561011	3612
13.719089	100.561011	3612
17.353889	100.232778	4563
17.353889	100.232778	4563
15.16538	100.33463	3799
17.353889	100.232778	4563
16.605739	100.342589	3581
15.17572	100.33361	3799
15.17572	100.33361	3799
15.48329	101.90404	3911
15.48329	101.90404	3911
16.52161	100.34384	3912
15.89668	100.13923	4036
15.89668	100.13923	4036
15.89668	100.13923	4036
16.74543	100.23202	3821
16.43194	100.34381	4072
16.43194	100.34381	4072
16.97832	100.01101	4283
16.97832	100.01101	4283
16.1368	99.73225	4372
16.14514	99.7657	4372
16.14514	99.7657	4372
16.14514	99.7657	4372
16.14625	99.77969	4372
16.54948	100.48838	4374
16.55738	100.48433	4408
16.57778	100.14611	4420
16.00833	100.37611	4420
16.68332	99.90711	4422
16.64756	99.9736	4422
16.48898	100.37708	4442
14.515833	100.305833	4676
14.277917	100.080875	4702
14.184167	99.783333	4737
14.184167	99.783333	4737
14.184167	99.783333	4737
14.130639	99.705611	4772
15.973365	99.680409	4807
16.817694	100.065222	4814
16.801944	100.028889	4814
14.28135	100.10803	4991
14.28135	100.10803	4991
14.24424	100.38176	5002
16.08504	99.80738	5106
16.25734	99.73557	5106
16.30283	99.73878	5106
16.52393	100.23824	5142
14.175278	100.285833	4638
15.871732	100.279899	2947
15.906	100.262842	2957
15.896772	100.311356	3404
15.09556	100.85319	3798
14.3179	99.56626	3847
14.32245	99.56744	3847
14.44778	99.51866	3848
16.3742	100.17846	3883
16.46929	99.88214	3954
15.36834	99.68446	4009
13.05242	100.56101	4043
13.05824	100.49368	4043
17.71196	103.34223	4437
